C:\self0\IMG\center_2024_01_09_18_26_13_950.jpg,C:\self0\IMG\left_2024_01_09_18_26_13_950.jpg,C:\self0\IMG\right_2024_01_09_18_26_13_950.jpg,0,0,0,1.076793E-05
C:\self0\IMG\center_2024_01_09_18_26_14_025.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_025.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_025.jpg,0,0,0,1.207941E-05
C:\self0\IMG\center_2024_01_09_18_26_14_104.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_104.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_104.jpg,0,0,0,1.174936E-05
C:\self0\IMG\center_2024_01_09_18_26_14_181.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_181.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_181.jpg,0,0,0,1.786333E-05
C:\self0\IMG\center_2024_01_09_18_26_14_260.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_260.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_260.jpg,0,0,0,1.743755E-05
C:\self0\IMG\center_2024_01_09_18_26_14_339.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_339.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_339.jpg,0,0,0,4.148655E-06
C:\self0\IMG\center_2024_01_09_18_26_14_417.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_417.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_417.jpg,0,0,0,1.079028E-05
C:\self0\IMG\center_2024_01_09_18_26_14_501.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_501.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_501.jpg,0,0.0854463,0,0.0254409
C:\self0\IMG\center_2024_01_09_18_26_14_559.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_559.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_559.jpg,0,0.2702004,0,0.1910003
C:\self0\IMG\center_2024_01_09_18_26_14_645.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_645.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_645.jpg,0,0.5471808,0,0.6011352
C:\self0\IMG\center_2024_01_09_18_26_14_709.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_709.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_709.jpg,0,0.74919,0,1.225877
C:\self0\IMG\center_2024_01_09_18_26_14_777.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_777.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_777.jpg,0,0.9494361,0,1.839868
C:\self0\IMG\center_2024_01_09_18_26_14_850.jpg,C:\self0\IMG\left_2024_01_09_18_26_14_850.jpg,C:\self0\IMG\right_2024_01_09_18_26_14_850.jpg,0,1,0,2.794278
